ds,y,tmin,tmax,vento,ur,radiacao,tmean
2015-12-14,3.6,21.1,27.1,21.0,95,20.98,24.1
2015-12-15,15.9,19.4,24.7,28.1,95,15.51,22.049999999999997
2015-12-16,0.0,18.2,22.7,24.9,88,30.8,20.45
2015-12-17,6.7,19.7,28.5,28.1,94,21.59,24.1
2015-12-18,23.1,20.6,24.5,20.7,95,6.56,22.55
2015-12-19,0.0,18.2,22.7,23.5,82,29.07,20.45
2015-12-20,0.0,17.0,21.6,27.1,73,32.84,19.3
2015-12-21,0.2,20.2,25.2,31.7,85,18.75,22.7
2015-12-22,23.0,21.3,25.5,25.7,94,7.07,23.4
2015-12-23,11.8,21.3,25.8,18.2,98,8.1,23.55
2015-12-24,0.8,20.4,24.0,23.5,99,13.4,22.2
2015-12-25,0.2,20.5,23.3,24.1,90,21.96,21.9
2015-12-26,0.0,20.4,23.1,19.5,91,18.49,21.75
2015-12-27,0.0,18.7,26.3,15.5,95,26.37,22.5
2015-12-28,0.0,18.8,26.2,21.7,98,31.73,22.5
2015-12-29,0.0,22.0,27.2,27.1,93,19.45,24.6
2015-12-30,25.7,23.8,28.6,22.2,97,15.33,26.200000000000003
2015-12-31,0.3,21.9,24.8,27.8,95,20.34,23.35
2016-01-01,0.4,21.3,23.9,23.9,85,15.53,22.6
2016-01-02,0.0,21.6,23.9,31.5,79,17.02,22.75
2016-01-03,0.0,21.8,24.8,33.4,80,21.12,23.3
2016-01-04,0.0,22.1,26.3,34.3,85,25.3,24.200000000000003
2016-01-05,39.7,22.7,23.7,28.9,94,5.11,23.2
2016-01-06,10.1,22.7,26.8,18.4,96,15.03,24.75
2016-01-07,0.3,20.0,24.5,29.7,94,18.05,22.25
2016-01-08,0.0,18.1,23.4,16.9,85,27.78,20.75
2016-01-09,0.0,19.3,24.4,21.8,87,27.11,21.85
2016-01-10,0.4,21.4,25.6,22.1,96,15.26,23.5
2016-01-11,0.0,21.8,24.9,20.7,98,18.89,23.35
2016-01-12,0.0,21.5,28.3,17.6,94,28.79,24.9
2016-01-13,0.8,21.2,26.1,32.6,96,26.41,23.65
2016-01-14,0.0,20.2,24.5,21.5,73,31.62,22.35
2016-01-15,0.0,19.0,27.2,19.1,85,32.19,23.1
2016-01-16,0.0,19.5,26.0,19.1,94,27.93,22.75
2016-01-17,0.0,20.2,28.6,15.5,95,31.08,24.4
2016-01-18,0.0,19.8,30.6,18.0,96,29.14,25.200000000000003
2016-01-19,1.3,22.4,25.3,22.0,92,22.17,23.85
2016-01-20,0.4,21.6,25.8,19.7,90,22.46,23.700000000000003
2016-01-21,0.0,21.2,26.0,27.4,84,27.45,23.6
2016-01-22,0.0,22.0,26.7,30.3,79,30.45,24.35
2016-01-23,1.0,20.2,30.4,22.4,90,24.46,25.299999999999997
2016-01-24,0.0,23.2,29.6,30.1,89,29.83,26.4
2016-01-25,0.3,22.9,33.8,31.1,90,25.52,28.349999999999998
2016-01-26,1.0,20.9,26.8,24.6,82,13.59,23.85
2016-01-27,0.0,19.1,23.8,19.9,83,27.41,21.450000000000003
2016-01-28,1.2,20.8,25.2,32.9,82,14.04,23.0
2016-01-29,3.0,23.7,28.5,31.4,94,16.68,26.1
2016-01-30,1.5,23.0,26.4,19.9,99,16.39,24.7
2016-01-31,2.0,22.0,25.0,21.4,92,20.51,23.5
2016-02-01,1.0,19.9,24.6,22.1,91,26.41,22.25
2016-02-02,0.0,18.3,25.2,17.8,84,22.0,21.75
2016-02-03,0.6,21.3,25.5,27.9,82,16.93,23.4
2016-02-04,1.9,21.4,27.3,18.2,96,23.86,24.35
2016-02-05,0.0,20.7,26.1,19.8,90,28.94,23.4
2016-02-06,0.1,20.9,25.6,21.1,86,20.11,23.25
2016-02-07,0.3,22.1,25.9,28.5,85,18.72,24.0
2016-02-08,14.7,23.2,29.8,25.2,95,18.8,26.5
