ds,y,tmin,tmax,vento,ur,radiacao,tmean
2015-12-14,0.6,22.4,30.7,14.4,89,24.65,26.549999999999997
2015-12-15,1.2,21.9,32.1,12.9,90,24.15,27.0
2015-12-16,0.0,22.0,33.4,13.8,88,26.72,27.7
2015-12-17,0.0,22.8,31.9,9.1,77,26.68,27.35
2015-12-18,0.0,22.4,32.1,8.5,81,25.43,27.25
2015-12-19,0.7,22.6,32.8,10.2,89,26.6,27.7
2015-12-20,1.6,21.6,32.4,9.4,88,25.98,27.0
2015-12-21,7.3,21.4,30.1,11.8,92,24.03,25.75
2015-12-22,2.9,22.6,30.2,9.7,91,19.93,26.4
2015-12-23,0.0,22.2,32.1,13.0,88,26.12,27.15
2015-12-24,0.0,23.2,33.5,16.9,79,29.5,28.35
2015-12-25,0.0,22.3,33.0,11.4,69,26.75,27.65
2015-12-26,6.7,23.4,30.8,7.6,88,21.8,27.1
2015-12-27,6.5,22.9,29.4,10.2,88,20.91,26.15
2015-12-28,4.3,21.2,29.5,10.7,93,20.36,25.35
2015-12-29,9.8,21.9,27.5,8.9,95,11.0,24.7
2015-12-30,3.4,21.2,25.5,10.2,96,10.73,23.35
2015-12-31,0.1,21.0,30.1,7.0,93,24.12,25.55
2016-01-01,5.6,23.0,30.4,11.6,90,24.56,26.7
2016-01-02,3.9,22.6,29.8,7.3,93,21.75,26.200000000000003
2016-01-03,8.0,21.7,28.9,12.2,97,20.04,25.299999999999997
2016-01-04,14.3,22.4,28.2,9.4,92,12.16,25.299999999999997
2016-01-05,26.0,21.6,23.7,10.7,97,5.01,22.65
2016-01-06,28.6,20.9,25.7,13.0,98,10.74,23.299999999999997
2016-01-07,14.7,20.6,22.8,18.3,99,6.48,21.700000000000003
2016-01-08,21.6,20.9,22.9,12.4,100,3.66,21.9
2016-01-09,25.6,20.6,24.9,13.6,98,8.19,22.75
2016-01-10,8.2,20.8,27.8,12.8,98,14.72,24.3
2016-01-11,24.1,21.1,27.5,14.7,98,15.04,24.3
2016-01-12,28.2,21.2,23.5,10.3,99,5.8,22.35
2016-01-13,16.5,21.3,25.0,12.2,98,8.34,23.15
2016-01-14,17.8,20.9,24.4,16.8,100,5.95,22.65
2016-01-15,14.3,21.0,23.9,15.0,99,6.59,22.45
2016-01-16,8.7,21.0,23.6,16.1,99,6.71,22.3
2016-01-17,9.7,21.3,23.4,14.7,99,5.05,22.35
2016-01-18,26.1,21.5,23.1,15.1,99,4.3,22.3
