ds,y,tmin,tmax,vento,ur,radiacao,tmean
2016-01-12,12.1,22.6,28.2,7.6,100,11.44,25.4
2016-01-13,5.0,23.5,28.3,12.5,100,15.82,25.9
2016-01-14,10.1,22.3,25.7,13.8,100,10.07,24.0
2016-01-15,11.2,21.8,23.8,8.3,100,5.12,22.8
2016-01-16,2.1,19.9,26.5,15.9,99,23.43,23.2
2016-01-17,0.0,20.5,26.9,15.2,89,25.59,23.7
2016-01-18,1.4,19.3,25.7,14.8,93,22.13,22.5
2016-01-19,0.7,19.9,27.3,13.8,95,24.27,23.6
2016-01-20,0.0,19.4,26.2,13.8,94,20.39,22.799999999999997
2016-01-21,2.2,19.8,26.8,16.6,89,24.07,23.3
2016-01-22,3.0,19.9,26.0,16.8,95,22.51,22.95
2016-01-23,0.0,18.9,27.3,11.9,92,23.12,23.1
2016-01-24,0.0,17.3,28.8,12.9,100,26.59,23.05
2016-01-25,0.4,20.1,32.3,10.9,98,24.4,26.2
2016-01-26,1.8,22.1,35.6,13.2,98,28.4,28.85
2016-01-27,33.9,22.7,25.4,14.0,100,6.84,24.049999999999997
2016-01-28,5.8,22.7,28.4,11.3,100,16.15,25.549999999999997
2016-01-29,7.1,22.9,29.3,8.0,99,21.0,26.1
2016-01-30,0.0,21.8,31.8,13.0,99,22.35,26.8
2016-01-31,0.0,22.6,34.5,11.7,97,25.3,28.55
2016-02-01,0.5,21.8,31.8,10.6,96,23.73,26.8
2016-02-02,3.4,24.6,29.2,12.1,96,15.33,26.9
2016-02-03,2.9,23.5,28.9,11.0,97,17.69,26.2
2016-02-04,0.0,23.3,29.6,7.3,97,18.64,26.450000000000003
2016-02-05,3.0,22.7,31.5,6.9,99,20.69,27.1
2016-02-06,8.7,23.6,29.0,8.7,98,19.02,26.3
2016-02-07,6.0,23.1,27.6,9.2,99,15.29,25.35
2016-02-08,0.9,22.9,30.2,7.9,96,21.47,26.549999999999997
2016-02-09,0.0,22.9,34.3,10.6,98,26.59,28.599999999999998
2016-02-10,18.7,23.9,30.2,9.6,100,15.74,27.049999999999997
2016-02-11,28.0,22.9,25.5,12.9,100,8.68,24.2
2016-02-12,0.1,21.9,26.8,9.6,90,19.27,24.35
2016-02-13,0.0,19.0,28.0,10.5,95,22.73,23.5
2016-02-14,12.8,19.9,32.3,9.5,100,24.62,26.099999999999998
2016-02-15,6.9,23.3,27.8,9.7,100,13.43,25.55
2016-02-16,16.9,22.5,26.9,6.5,100,11.29,24.7
2016-02-17,20.9,22.4,29.7,5.4,100,19.01,26.049999999999997
2016-02-18,4.9,22.3,31.6,8.8,99,24.09,26.950000000000003
2016-02-19,3.8,23.7,29.8,10.3,99,19.84,26.75
2016-02-20,6.1,22.7,29.9,8.9,100,20.48,26.299999999999997
2016-02-21,29.6,22.7,25.5,6.6,100,6.97,24.1
2016-02-22,11.0,21.7,29.5,4.7,100,5.9,25.6
2016-02-23,8.1,22.1,27.3,9.1,100,7.63,24.700000000000003
2016-02-24,1.1,22.3,28.3,8.3,95,9.75,25.3
2016-02-25,3.1,22.8,29.9,7.4,96,12.55,26.35
2016-02-26,0.6,22.7,30.9,13.3,94,21.81,26.799999999999997
2016-02-27,0.0,23.8,32.5,16.2,92,25.75,28.15
2016-02-28,19.6,22.3,28.9,16.9,100,12.55,25.6
2016-02-29,7.3,21.2,24.4,13.2,100,9.38,22.799999999999997
2016-03-01,0.2,20.2,24.6,10.4,89,12.11,22.4
2016-03-02,3.7,21.1,25.8,10.5,94,11.14,23.450000000000003
2016-03-03,4.0,21.4,28.2,17.0,97,16.87,24.799999999999997
2016-03-04,0.6,21.3,29.6,14.0,93,22.74,25.450000000000003
2016-03-05,1.3,21.6,26.6,13.0,96,16.73,24.1
2016-03-06,0.5,21.4,28.9,7.9,96,21.16,25.15
2016-03-07,7.0,22.7,29.0,9.0,97,18.85,25.85
2016-03-08,3.0,22.5,27.5,10.7,97,15.69,25.0
2016-03-09,0.3,22.5,29.3,8.4,98,17.63,25.9
2016-03-10,2.2,22.8,31.3,9.7,98,15.72,27.05
2016-03-11,2.3,23.2,27.6,8.4,94,17.06,25.4
2016-03-12,1.9,21.2,27.1,13.1,96,19.22,24.15
2016-03-13,6.5,20.5,25.1,15.1,93,16.15,22.8
2016-03-14,2.2,20.3,25.8,11.5,100,13.72,23.05
2016-03-15,0.8,21.5,27.2,11.9,96,15.46,24.35
2016-03-16,7.9,21.5,26.1,6.3,98,14.53,23.8
2016-03-17,5.8,21.4,26.7,7.4,100,15.42,24.049999999999997
2016-03-18,0.1,21.1,28.9,10.0,98,19.67,25.0
2016-03-19,0.0,21.8,30.2,11.1,99,23.79,26.0
2016-03-20,0.2,22.0,28.8,9.5,98,19.48,25.4
2016-03-21,0.0,21.9,30.7,10.8,98,20.33,26.299999999999997
2016-03-22,2.4,21.7,31.5,6.5,99,17.27,26.6
2016-03-23,6.3,21.3,25.3,8.4,99,8.79,23.3
2016-03-24,1.7,21.3,26.4,13.0,96,13.85,23.85
2016-03-25,6.1,21.7,24.8,5.3,99,5.88,23.25
2016-03-26,1.2,21.1,30.8,13.1,99,19.68,25.950000000000003
2016-03-27,0.2,21.6,30.3,8.8,94,18.48,25.950000000000003
2016-03-28,0.0,21.4,29.4,11.2,97,19.51,25.4
2016-03-29,2.2,22.4,27.2,10.4,96,11.71,24.799999999999997
2016-03-30,3.5,22.8,27.5,9.4,94,11.95,25.15
2016-03-31,5.7,21.9,28.9,12.5,98,15.97,25.4
2016-04-01,0.4,20.9,28.8,9.9,100,15.47,24.85
2016-04-02,0.4,22.4,29.3,9.8,97,18.16,25.85
2016-04-03,0.0,21.7,31.6,7.4,100,21.12,26.65
2016-04-04,1.1,23.2,27.5,10.9,100,12.96,25.35
2016-04-05,0.5,22.5,27.8,8.3,95,14.28,25.15
2016-04-06,0.0,21.5,29.5,7.2,97,19.59,25.5
2016-04-07,0.0,19.9,32.6,7.1,100,21.72,26.25
2016-04-08,0.8,22.1,29.8,9.3,99,16.46,25.950000000000003
2016-04-09,0.1,23.4,32.1,8.9,99,18.81,27.75
2016-04-10,3.3,23.2,30.0,10.8,100,15.07,26.6
2016-04-11,1.3,23.6,28.6,9.9,96,13.72,26.1
2016-04-12,0.7,23.6,29.7,11.5,94,14.59,26.65
2016-04-13,0.3,23.3,29.3,9.2,94,15.25,26.3
2016-04-14,0.0,22.8,31.4,7.9,97,17.34,27.1
2016-04-15,0.5,23.2,31.4,9.2,100,17.1,27.299999999999997
2016-04-16,0.2,23.9,32.2,6.3,97,17.83,28.05
2016-04-17,0.0,23.9,31.2,10.5,100,17.28,27.549999999999997
2016-04-18,0.0,21.1,33.2,9.4,99,19.57,27.150000000000002
2016-04-19,0.0,21.1,33.7,11.7,99,19.11,27.400000000000002
2016-04-20,0.0,20.9,33.6,8.8,96,17.67,27.25
2016-04-21,0.0,22.1,34.3,9.4,94,18.21,28.2
