ds,y,tmin,tmax,vento,ur,radiacao,tmean
2015-12-14,2.2,24.0,30.7,20.0,85,26.31,27.35
2015-12-15,13.7,22.7,30.6,13.3,94,26.61,26.65
2015-12-16,10.5,21.9,29.2,9.1,96,22.91,25.549999999999997
2015-12-17,0.7,22.1,32.3,15.2,92,28.75,27.2
2015-12-18,2.5,24.6,32.0,18.6,82,27.13,28.3
2015-12-19,3.2,24.7,29.2,19.1,88,19.52,26.95
2015-12-20,29.0,21.9,27.1,9.8,97,15.76,24.5
2015-12-21,15.0,22.4,30.8,11.4,93,24.52,26.6
2015-12-22,3.3,23.0,30.5,14.4,92,24.78,26.75
2015-12-23,18.9,24.2,29.3,17.7,86,23.84,26.75
2015-12-24,12.0,24.3,31.8,13.1,92,25.06,28.05
2015-12-25,22.6,23.2,30.4,9.7,96,19.95,26.799999999999997
2015-12-26,0.2,23.0,29.7,7.6,97,20.98,26.35
2015-12-27,12.0,24.2,29.9,14.4,92,18.88,27.049999999999997
2015-12-28,10.7,23.2,30.8,14.5,95,21.33,27.0
2015-12-29,18.1,23.5,29.9,18.7,93,21.7,26.7
2015-12-30,15.5,23.5,28.2,21.8,91,18.08,25.85
2015-12-31,6.7,23.2,29.3,22.3,89,20.73,26.25
2016-01-01,13.4,23.7,29.5,17.1,91,19.77,26.6
2016-01-02,7.9,23.0,29.3,14.0,96,20.99,26.15
2016-01-03,11.5,22.7,28.8,13.7,97,19.16,25.75
2016-01-04,17.5,22.6,28.4,10.8,97,15.9,25.5
2016-01-05,14.9,22.8,29.1,11.0,94,18.06,25.950000000000003
2016-01-06,23.8,22.5,29.2,8.6,99,17.83,25.85
2016-01-07,17.0,22.4,28.8,9.4,99,14.44,25.6
2016-01-08,18.5,22.5,27.6,8.5,97,11.69,25.05
2016-01-09,24.1,22.4,23.6,16.0,98,5.32,23.0
2016-01-10,67.5,22.1,23.2,23.8,99,4.36,22.65
2016-01-11,15.2,22.5,24.9,21.1,99,8.99,23.7
2016-01-12,5.1,22.3,26.6,22.9,96,13.86,24.450000000000003
2016-01-13,16.0,22.9,26.8,19.0,97,10.9,24.85
2016-01-14,14.7,22.4,25.3,11.4,100,6.84,23.85
2016-01-15,19.2,22.2,26.5,12.6,99,9.3,24.35
2016-01-16,2.2,22.4,29.6,16.6,98,22.2,26.0
2016-01-17,0.0,22.2,30.0,18.7,87,28.8,26.1
2016-01-18,0.0,22.0,30.0,17.1,78,29.1,26.0
2016-01-19,0.0,20.5,29.5,14.8,75,28.95,25.0
2016-01-20,0.0,21.1,29.9,16.6,82,28.44,25.5
2016-01-21,0.0,22.2,30.2,18.2,80,28.41,26.2
2016-01-22,0.0,22.6,30.2,21.8,76,29.5,26.4
2016-01-23,0.0,22.2,30.8,15.8,79,26.77,26.5
2016-01-24,0.9,22.7,31.5,12.7,89,25.43,27.1
2016-01-25,0.5,24.2,31.9,19.5,85,25.91,28.049999999999997
2016-01-26,8.4,24.1,31.0,24.3,92,21.5,27.55
2016-01-27,31.7,23.4,28.0,15.8,96,10.81,25.7
2016-01-28,10.8,22.2,29.5,8.7,97,20.61,25.85
2016-01-29,12.4,22.6,29.3,12.0,96,18.26,25.950000000000003
2016-01-30,12.8,22.5,26.3,23.7,96,12.31,24.4
2016-01-31,18.2,21.8,25.3,19.1,96,8.23,23.55
2016-02-01,2.9,21.8,29.0,12.1,91,19.68,25.4
2016-02-02,6.2,22.5,31.7,13.9,92,27.1,27.1
2016-02-03,3.5,22.8,31.2,9.7,93,25.04,27.0
2016-02-04,10.1,22.6,29.6,7.6,96,19.6,26.1
2016-02-05,21.1,23.0,29.4,14.5,92,21.75,26.2
2016-02-06,9.5,22.7,30.2,10.9,94,24.27,26.45
2016-02-07,13.0,23.0,30.0,6.6,97,23.36,26.5
2016-02-08,0.9,23.0,31.8,14.5,92,26.1,27.4
2016-02-09,11.6,23.4,29.4,9.9,91,19.68,26.4
2016-02-10,4.6,22.7,30.6,9.9,95,24.18,26.65
2016-02-11,0.4,23.0,31.4,13.9,96,25.07,27.2
2016-02-12,0.0,23.1,31.0,11.2,97,20.89,27.05
2016-02-13,0.0,22.9,31.1,13.0,92,24.57,27.0
2016-02-14,0.2,23.9,32.2,8.0,89,24.67,28.05
2016-02-15,12.7,23.9,30.7,6.9,95,20.12,27.299999999999997
2016-02-16,14.0,23.2,29.2,15.6,96,18.79,26.2
2016-02-17,1.7,23.9,30.9,17.9,88,23.97,27.4
2016-02-18,5.2,23.6,30.3,10.0,93,20.93,26.950000000000003
2016-02-19,9.2,22.9,31.3,9.8,98,24.11,27.1
2016-02-20,14.6,23.5,28.5,10.9,98,18.12,26.0
2016-02-21,14.2,22.9,28.6,11.6,96,16.11,25.75
2016-02-22,8.8,22.9,26.7,14.1,98,9.96,24.799999999999997
2016-02-23,18.4,22.2,25.6,12.4,98,8.69,23.9
2016-02-24,14.8,22.2,26.3,15.9,94,12.17,24.25
2016-02-25,4.2,21.7,26.1,18.3,93,13.73,23.9
2016-02-26,1.7,22.8,28.7,20.6,93,20.79,25.75
2016-02-27,9.5,23.5,29.3,15.5,91,18.03,26.4
2016-02-28,1.4,22.9,27.3,13.0,96,13.23,25.1
2016-02-29,16.7,22.7,27.6,10.5,95,11.58,25.15
2016-03-01,5.4,22.0,30.1,14.8,96,22.6,26.05
2016-03-02,12.9,22.4,28.9,13.8,95,20.97,25.65
2016-03-03,2.6,22.0,28.3,17.1,99,17.35,25.15
2016-03-04,5.5,20.6,27.7,14.4,97,20.33,24.15
2016-03-05,0.0,19.6,28.1,9.3,96,18.98,23.85
2016-03-06,2.4,21.4,28.8,10.7,88,21.36,25.1
2016-03-07,4.4,21.3,29.2,11.8,89,21.22,25.25
2016-03-08,2.9,23.1,30.3,13.8,92,21.12,26.700000000000003
2016-03-09,18.1,23.4,29.1,11.0,94,16.05,26.25
2016-03-10,2.6,22.0,26.2,17.7,97,14.41,24.1
2016-03-11,0.0,18.2,27.1,14.4,91,23.67,22.65
2016-03-12,0.0,17.8,26.8,15.2,87,27.31,22.3
2016-03-13,0.0,16.7,28.9,10.6,77,25.83,22.799999999999997
2016-03-14,1.8,21.0,29.5,12.9,89,20.81,25.25
2016-03-15,7.1,22.2,29.6,19.8,95,21.68,25.9
2016-03-16,1.6,21.7,29.0,16.5,96,20.89,25.35
2016-03-17,0.0,21.5,30.1,15.1,90,23.88,25.8
2016-03-18,0.0,23.1,30.9,13.5,83,22.51,27.0
2016-03-19,0.9,22.0,31.3,12.1,92,21.48,26.65
2016-03-20,0.0,22.3,31.9,8.9,90,23.36,27.1
2016-03-21,0.0,22.4,31.7,10.3,79,23.93,27.049999999999997
2016-03-22,1.7,24.1,31.0,13.6,90,20.17,27.55
2016-03-23,7.6,22.3,30.9,8.9,96,20.06,26.6
2016-03-24,17.9,22.1,26.2,15.6,95,7.3,24.15
2016-03-25,12.0,21.2,23.3,25.0,99,6.85,22.25
2016-03-26,0.0,20.0,25.3,10.4,92,12.28,22.65
2016-03-27,0.0,19.3,25.8,11.4,85,14.26,22.55
2016-03-28,0.0,21.1,27.8,11.0,77,15.86,24.450000000000003
2016-03-29,0.9,20.9,30.3,11.6,85,22.09,25.6
2016-03-30,1.1,22.4,30.7,13.6,89,22.11,26.549999999999997
2016-03-31,0.3,21.5,31.2,19.7,92,22.27,26.35
2016-04-01,0.2,22.7,32.3,12.1,84,23.67,27.5
2016-04-02,0.2,22.9,32.2,13.0,80,21.94,27.55
2016-04-03,0.0,21.3,32.2,11.2,93,21.41,26.75
2016-04-04,0.1,23.5,32.1,13.8,78,21.32,27.8
2016-04-05,1.6,24.2,32.4,15.8,81,21.46,28.299999999999997
2016-04-06,0.2,24.0,32.0,13.5,80,20.79,28.0
2016-04-07,0.2,22.9,32.5,7.6,90,21.07,27.7
2016-04-08,0.0,22.5,33.4,10.7,93,21.51,27.95
2016-04-09,0.0,22.5,33.4,10.6,83,22.81,27.95
2016-04-10,0.0,21.7,33.2,14.5,81,21.82,27.450000000000003
2016-04-11,0.0,23.0,33.0,11.0,75,20.55,28.0
2016-04-12,0.0,23.6,32.0,9.7,68,19.02,27.8
2016-04-13,0.0,21.3,32.4,17.3,85,18.5,26.85
2016-04-14,0.0,22.0,32.6,11.5,79,17.91,27.3
2016-04-15,0.3,22.1,32.1,11.7,92,18.57,27.1
2016-04-16,0.0,22.7,33.3,15.7,84,22.23,28.0
2016-04-17,0.0,23.9,33.4,16.6,55,20.89,28.65
2016-04-18,0.0,23.6,33.3,14.8,58,21.48,28.45
2016-04-19,0.0,23.4,32.9,16.7,61,19.06,28.15
2016-04-20,0.0,21.8,32.8,11.2,77,19.17,27.299999999999997
2016-04-21,0.0,20.6,32.6,14.0,77,19.26,26.6
2016-04-22,0.0,22.9,30.6,8.7,87,12.76,26.75
2016-04-23,0.0,22.0,33.5,16.7,85,20.47,27.75
2016-04-24,0.0,23.1,33.0,21.3,70,19.14,28.05
2016-04-25,4.0,23.6,29.3,23.5,94,10.76,26.450000000000003
2016-04-26,6.8,14.5,23.1,24.4,99,5.81,18.8
2016-04-27,0.0,11.9,17.4,18.7,71,17.0,14.649999999999999
2016-04-28,0.0,9.1,19.1,19.6,73,21.06,14.100000000000001
2016-04-29,0.8,11.4,21.8,11.8,71,18.57,16.6
2016-04-30,0.0,11.2,21.4,13.1,79,20.95,16.299999999999997
2016-05-01,0.0,11.0,24.2,14.6,77,20.74,17.6
2016-05-02,0.0,15.8,27.7,15.5,70,19.88,21.75
2016-05-03,0.0,16.3,28.8,8.9,81,19.39,22.55
2016-05-04,0.0,17.3,29.1,11.3,81,19.4,23.200000000000003
2016-05-05,0.0,18.2,30.5,13.9,77,19.64,24.35
2016-05-06,0.0,21.1,31.1,16.8,70,16.82,26.1
2016-05-07,0.0,19.6,29.2,17.1,79,12.97,24.4
2016-05-08,0.2,19.8,30.5,10.6,79,15.41,25.15
2016-05-09,12.0,21.0,29.8,16.0,96,14.1,25.4
2016-05-10,6.3,20.2,25.5,14.1,98,10.13,22.85
2016-05-11,36.6,19.9,26.4,11.6,99,12.7,23.15
2016-05-12,22.9,18.8,25.3,7.9,98,11.24,22.05
2016-05-13,0.1,19.0,25.5,12.4,96,11.05,22.25
2016-05-14,0.0,19.8,27.7,15.0,88,17.61,23.75
2016-05-15,0.4,20.4,29.1,21.6,87,16.18,24.75
2016-05-16,4.9,19.6,23.9,14.8,99,7.47,21.75
2016-05-17,0.2,16.4,22.9,11.8,83,10.39,19.65
