ds,y,tmin,tmax,vento,ur,radiacao,tmean
2016-01-17,0.0,16.7,27.8,20.8,87,27.35,22.25
2016-01-18,0.0,18.6,26.7,20.3,79,17.88,22.65
2016-01-19,1.7,19.2,24.1,20.6,84,10.27,21.65
2016-01-20,0.0,18.6,26.0,21.3,79,13.92,22.3
2016-01-21,0.0,18.5,26.9,22.1,86,24.9,22.7
2016-01-22,0.0,16.8,28.2,20.9,86,29.32,22.5
2016-01-23,0.6,17.9,28.6,13.2,90,27.41,23.25
2016-01-24,9.9,19.5,29.5,11.1,93,26.91,24.5
2016-01-25,7.2,20.3,28.9,10.5,96,24.93,24.6
2016-01-26,0.0,20.9,30.9,12.3,92,27.02,25.9
2016-01-27,12.2,22.7,28.8,11.5,93,19.96,25.75
2016-01-28,12.9,21.4,28.6,12.2,93,18.05,25.0
2016-01-29,4.5,21.9,27.1,16.8,94,14.15,24.5
2016-01-30,1.3,22.2,30.9,15.1,90,24.92,26.549999999999997
2016-01-31,0.0,20.9,31.6,15.9,92,28.4,26.25
2016-02-01,0.0,19.0,32.0,10.6,90,28.92,25.5
2016-02-02,0.1,21.2,31.7,11.5,92,25.67,26.45
2016-02-03,0.3,21.7,31.9,11.3,90,27.18,26.799999999999997
2016-02-04,0.2,21.5,31.3,6.9,94,25.88,26.4
2016-02-05,1.3,22.5,32.1,10.0,90,25.57,27.3
2016-02-06,17.2,22.5,29.8,8.9,95,22.23,26.15
2016-02-07,11.1,20.6,30.3,6.9,95,24.61,25.450000000000003
2016-02-08,1.1,20.8,30.0,9.7,96,25.08,25.4
2016-02-09,0.1,21.0,30.9,9.2,93,26.47,25.95
2016-02-10,0.5,22.1,31.2,10.7,93,24.2,26.65
2016-02-11,7.9,22.1,28.1,12.2,93,15.12,25.1
2016-02-12,0.0,20.4,30.4,16.9,83,26.6,25.4
2016-02-13,0.0,19.0,30.1,11.8,90,24.8,24.55
2016-02-14,0.9,21.5,31.2,11.9,89,23.71,26.35
2016-02-15,17.7,22.7,31.1,15.2,97,20.97,26.9
2016-02-16,21.0,21.8,27.1,13.5,99,12.12,24.450000000000003
2016-02-17,4.2,21.6,30.5,12.2,96,19.53,26.05
2016-02-18,3.2,21.5,30.3,11.7,97,24.2,25.9
2016-02-19,12.9,20.6,29.8,10.9,98,21.49,25.200000000000003
2016-02-20,7.3,21.1,30.7,14.5,98,23.16,25.9
2016-02-21,18.2,21.5,25.5,8.6,97,10.93,23.5
2016-02-22,15.0,21.4,25.0,13.0,96,6.95,23.2
2016-02-23,15.6,20.9,24.2,13.9,98,6.62,22.549999999999997
2016-02-24,0.9,20.2,27.9,12.0,99,15.43,24.049999999999997
2016-02-25,1.7,20.5,29.2,9.7,96,17.51,24.85
2016-02-26,5.5,21.7,29.8,10.7,94,23.29,25.75
2016-02-27,2.1,22.7,28.7,13.1,90,16.67,25.7
2016-02-28,13.5,21.8,28.2,11.1,95,18.78,25.0
2016-02-29,5.3,19.8,23.4,16.6,96,7.01,21.6
2016-03-01,10.7,19.2,23.1,12.8,93,7.94,21.15
2016-03-02,20.7,18.8,26.4,9.3,97,15.98,22.6
2016-03-03,27.2,20.2,25.6,16.2,97,8.2,22.9
2016-03-04,10.7,19.8,27.4,17.1,95,16.65,23.6
2016-03-05,4.6,19.6,26.9,15.9,97,15.54,23.25
2016-03-06,9.3,19.8,28.6,10.7,95,21.72,24.200000000000003
2016-03-07,9.9,18.9,29.4,9.9,99,23.25,24.15
2016-03-08,4.5,20.1,29.8,10.1,96,23.88,24.950000000000003
2016-03-09,0.2,20.3,30.0,14.9,95,22.64,25.15
2016-03-10,19.5,21.7,27.9,16.8,94,14.68,24.799999999999997
2016-03-11,9.8,21.0,26.9,17.1,96,10.82,23.95
2016-03-12,0.2,19.1,28.2,18.3,96,24.57,23.65
2016-03-13,0.5,18.8,26.6,16.6,86,16.78,22.700000000000003
2016-03-14,1.7,19.3,28.5,15.9,89,20.46,23.9
2016-03-15,11.1,20.1,28.2,12.0,91,19.99,24.15
2016-03-16,3.9,20.3,27.3,11.1,95,16.48,23.8
2016-03-17,4.8,19.5,28.4,7.6,95,21.91,23.95
2016-03-18,0.3,18.0,28.9,10.5,95,23.3,23.45
2016-03-19,0.0,19.1,29.2,12.0,97,24.17,24.15
2016-03-20,0.0,17.4,29.4,12.6,96,24.69,23.4
2016-03-21,0.0,19.1,30.1,12.7,96,24.0,24.6
2016-03-22,0.5,20.2,30.4,13.4,93,20.85,25.299999999999997
2016-03-23,20.7,20.3,28.2,16.5,96,19.13,24.25
2016-03-24,2.5,19.4,29.4,9.6,98,21.38,24.4
2016-03-25,14.5,20.9,28.5,16.3,96,16.51,24.7
2016-03-26,8.9,21.0,26.9,17.2,96,14.68,23.95
2016-03-27,2.6,20.2,29.5,12.0,96,19.12,24.85
2016-03-28,6.2,20.9,29.2,6.0,97,20.38,25.049999999999997
2016-03-29,0.7,19.4,29.2,8.4,99,20.06,24.299999999999997
2016-03-30,3.3,20.0,29.6,8.3,96,20.22,24.8
2016-03-31,1.6,20.1,29.5,8.2,96,22.18,24.8
2016-04-01,0.7,20.3,29.4,11.1,95,22.32,24.85
2016-04-02,0.0,19.2,29.2,8.2,95,22.66,24.2
2016-04-03,0.0,19.2,30.1,8.0,93,21.9,24.65
2016-04-04,0.0,19.7,30.0,15.7,96,22.09,24.85
2016-04-05,0.0,18.7,29.1,13.4,94,22.32,23.9
2016-04-06,0.0,18.8,29.2,10.5,96,22.17,24.0
2016-04-07,0.0,18.5,29.8,7.1,91,22.49,24.15
2016-04-08,0.0,19.0,30.3,7.8,93,22.57,24.65
2016-04-09,0.0,20.0,31.0,8.0,93,21.23,25.5
2016-04-10,0.0,20.6,30.7,10.9,91,19.76,25.65
2016-04-11,0.2,21.0,29.9,9.4,93,18.63,25.45
2016-04-12,0.0,21.0,30.0,13.1,93,19.27,25.5
2016-04-13,0.0,20.9,30.4,11.8,94,20.98,25.65
2016-04-14,0.0,19.2,29.4,14.2,84,16.48,24.299999999999997
2016-04-15,0.0,20.4,29.6,6.0,85,17.33,25.0
2016-04-16,0.0,20.0,31.1,12.2,89,20.88,25.55
2016-04-17,0.0,18.5,31.0,11.0,86,21.33,24.75
2016-04-18,0.0,18.6,31.3,12.0,81,19.74,24.950000000000003
2016-04-19,0.0,19.6,31.0,13.8,85,19.09,25.3
2016-04-20,0.0,20.8,30.1,10.8,85,16.93,25.450000000000003
2016-04-21,0.0,18.1,30.7,13.8,85,18.27,24.4
2016-04-22,0.0,18.1,31.3,13.8,85,18.9,24.700000000000003
2016-04-23,0.0,19.3,31.1,14.2,85,19.4,25.200000000000003
2016-04-24,0.0,19.5,31.2,14.0,76,19.25,25.35
2016-04-25,0.0,20.3,32.1,17.5,66,19.16,26.200000000000003
2016-04-26,6.7,20.4,28.9,16.2,87,11.61,24.65
2016-04-27,4.6,17.4,20.4,17.4,95,6.78,18.9
2016-04-28,0.0,14.2,22.1,12.9,85,20.15,18.15
2016-04-29,1.7,13.5,22.5,10.9,85,13.6,18.0
2016-04-30,0.0,12.5,22.4,9.7,95,17.05,17.45
2016-05-01,0.0,12.4,21.6,12.3,93,19.48,17.0
2016-05-02,0.0,9.0,24.1,10.5,86,20.32,16.55
2016-05-03,0.0,12.0,25.5,9.6,93,19.4,18.75
2016-05-04,0.0,13.2,25.7,10.4,98,18.27,19.45
2016-05-05,0.0,14.4,26.0,9.3,93,16.6,20.2
2016-05-06,0.0,14.8,28.1,9.3,92,18.59,21.450000000000003
2016-05-07,0.4,17.1,27.5,8.5,92,15.79,22.3
2016-05-08,0.0,16.4,28.2,10.2,96,16.52,22.299999999999997
2016-05-09,1.0,17.6,30.1,9.0,92,16.01,23.85
2016-05-10,2.5,18.3,26.6,11.8,96,9.95,22.450000000000003
2016-05-11,0.0,16.1,25.0,8.8,100,9.97,20.55
2016-05-12,0.3,16.5,25.0,17.4,96,12.56,20.75
2016-05-13,0.0,15.8,24.4,15.7,88,11.26,20.1
2016-05-14,0.0,15.8,24.8,14.0,84,11.6,20.3
2016-05-15,0.0,14.2,28.2,18.4,90,17.27,21.2
2016-05-16,12.2,19.6,27.4,22.0,95,10.6,23.5
2016-05-17,3.4,17.0,24.8,14.2,98,13.52,20.9
2016-05-18,5.9,15.0,21.5,7.0,97,10.68,18.25
2016-05-19,3.6,16.6,21.2,13.2,97,9.21,18.9
2016-05-20,0.0,15.3,26.6,13.4,95,12.77,20.950000000000003
2016-05-21,11.1,18.3,25.9,10.6,95,10.95,22.1
2016-05-22,2.4,16.7,27.1,15.3,97,13.43,21.9
2016-05-23,10.8,14.9,18.8,17.1,96,8.63,16.85
2016-05-24,0.0,10.2,20.1,18.8,80,14.51,15.15
2016-05-25,0.0,10.9,22.9,12.5,93,14.55,16.9
2016-05-26,0.0,14.3,24.8,8.0,91,15.19,19.55
2016-05-27,0.0,15.0,24.4,10.7,96,14.51,19.7
2016-05-28,0.0,14.9,25.1,10.8,95,14.61,20.0
2016-05-29,5.2,14.4,21.5,12.1,94,8.0,17.95
2016-05-30,3.4,14.7,22.6,8.4,97,9.71,18.65
2016-05-31,5.5,16.2,22.9,12.5,96,9.49,19.549999999999997
2016-06-01,9.2,16.7,24.3,12.7,97,10.58,20.5
2016-06-02,12.8,17.6,24.0,16.8,97,9.84,20.8
2016-06-03,28.1,17.7,21.6,14.1,98,6.05,19.65
2016-06-04,10.0,17.7,21.6,12.6,97,4.36,19.65
2016-06-05,18.5,18.0,21.6,11.3,98,3.49,19.8
2016-06-06,6.2,19.4,24.1,14.8,97,6.34,21.75
2016-06-07,20.0,15.3,20.5,16.6,100,5.31,17.9
2016-06-08,0.0,11.8,19.2,7.3,98,13.97,15.5
2016-06-09,0.0,8.9,18.4,8.3,92,15.81,13.649999999999999
