ds,y,tmin,tmax,vento,ur,radiacao,tmean
2016-01-22,5.8,21.1,27.7,9.8,98,18.08,24.4
2016-01-23,5.7,20.4,25.3,7.5,98,11.64,22.85
2016-01-24,11.1,20.1,25.7,12.2,99,14.39,22.9
2016-01-25,7.1,20.6,26.0,15.1,97,17.43,23.3
2016-01-26,4.8,19.6,28.6,13.1,100,23.62,24.1
2016-01-27,16.8,21.0,27.3,11.7,99,14.25,24.15
2016-01-28,13.2,21.1,24.9,7.4,98,8.84,23.0
2016-01-29,15.5,20.7,23.6,19.4,98,9.73,22.15
2016-01-30,0.0,19.1,28.6,18.2,100,22.54,23.85
2016-01-31,0.0,19.7,29.7,15.8,82,25.32,24.7
2016-02-01,0.0,18.9,29.3,13.7,83,25.22,24.1
2016-02-02,1.2,19.9,29.9,8.5,89,26.18,24.9
2016-02-03,7.8,20.7,29.0,8.1,96,22.98,24.85
2016-02-04,4.3,19.3,28.9,6.4,97,24.93,24.1
2016-02-05,16.0,20.3,29.0,7.6,97,23.5,24.65
2016-02-06,6.1,21.0,29.3,7.9,95,22.81,25.15
2016-02-07,0.1,20.9,30.0,9.5,94,24.74,25.45
2016-02-08,10.6,21.3,30.0,12.7,95,22.69,25.65
2016-02-09,10.8,21.0,28.9,10.9,94,22.27,24.95
2016-02-10,0.3,20.4,29.5,11.6,95,24.41,24.95
2016-02-11,1.1,21.7,30.4,6.9,92,24.51,26.049999999999997
2016-02-12,2.3,22.1,29.4,10.2,93,20.56,25.75
2016-02-13,23.9,21.8,29.5,10.9,97,24.55,25.65
2016-02-14,11.8,20.6,26.5,11.3,99,16.28,23.55
2016-02-15,5.5,21.1,27.7,12.7,98,19.48,24.4
2016-02-16,0.4,20.0,30.2,9.1,97,25.02,25.1
2016-02-17,0.0,20.7,31.5,12.0,91,26.18,26.1
2016-02-18,0.3,21.9,31.0,9.5,87,24.28,26.45
2016-02-19,0.0,22.4,30.8,14.3,86,24.34,26.6
2016-02-20,0.0,19.8,30.2,9.7,88,24.79,25.0
2016-02-21,5.9,20.7,29.4,12.1,90,23.35,25.049999999999997
2016-02-22,0.6,20.4,30.3,12.6,96,24.53,25.35
2016-02-23,0.0,22.0,30.9,12.6,86,24.41,26.45
2016-02-24,0.0,21.6,30.3,13.8,80,24.08,25.950000000000003
2016-02-25,0.0,20.5,30.7,7.5,88,23.25,25.6
2016-02-26,0.3,21.6,30.7,11.4,86,24.67,26.15
2016-02-27,5.5,21.4,30.6,9.0,95,23.61,26.0
2016-02-28,5.4,22.3,30.6,7.7,94,20.72,26.450000000000003
2016-02-29,8.7,22.3,30.6,12.5,94,21.64,26.450000000000003
2016-03-01,9.2,21.7,30.3,13.4,95,18.74,26.0
2016-03-02,0.4,21.6,31.5,13.2,91,20.83,26.55
2016-03-03,17.9,20.6,24.7,7.7,97,8.98,22.65
2016-03-04,6.7,19.6,28.4,12.2,95,22.5,24.0
2016-03-05,10.0,20.9,27.8,8.7,99,18.13,24.35
2016-03-06,15.2,20.2,29.2,6.9,98,21.69,24.7
2016-03-07,19.7,21.3,28.3,5.1,99,17.82,24.8
2016-03-08,15.7,21.6,27.9,12.5,97,16.46,24.75
2016-03-09,5.6,21.6,28.8,12.9,95,20.36,25.200000000000003
2016-03-10,11.5,20.8,25.5,12.4,98,10.3,23.15
