ds,y,tmin,tmax,vento,ur,radiacao,tmean
2015-12-14,1.6,21.6,29.2,12.6,90,22.59,25.4
2015-12-15,6.0,20.7,30.6,10.2,95,23.79,25.65
2015-12-16,0.0,20.2,31.9,11.2,97,26.2,26.049999999999997
2015-12-17,0.0,20.2,31.8,10.7,82,29.45,26.0
2015-12-18,2.0,21.4,32.1,7.2,83,26.81,26.75
2015-12-19,0.1,20.9,31.8,8.7,91,28.68,26.35
2015-12-20,3.6,21.1,31.2,6.4,89,26.56,26.15
2015-12-21,10.2,20.6,29.9,12.7,97,21.79,25.25
2015-12-22,6.8,20.8,29.7,10.8,95,22.12,25.25
2015-12-23,0.3,20.6,31.3,12.1,95,25.91,25.950000000000003
2015-12-24,0.0,21.3,32.3,17.2,80,29.65,26.799999999999997
2015-12-25,0.0,20.4,32.6,11.2,71,27.1,26.5
2015-12-26,2.0,21.8,31.7,7.6,90,24.72,26.75
2015-12-27,12.8,21.1,27.7,7.9,94,19.25,24.4
2015-12-28,6.5,20.5,28.3,11.9,93,20.14,24.4
2015-12-29,8.5,21.1,23.8,12.4,90,7.04,22.450000000000003
2015-12-30,6.8,20.4,24.5,10.5,93,8.11,22.45
2015-12-31,1.1,20.2,29.3,9.8,95,22.15,24.75
2016-01-01,0.5,20.9,29.8,8.7,89,26.18,25.35
2016-01-02,2.0,21.1,30.0,9.3,95,23.73,25.55
2016-01-03,7.2,21.3,27.9,12.8,96,17.63,24.6
2016-01-04,22.1,21.6,25.2,11.6,96,10.25,23.4
2016-01-05,9.7,20.8,25.5,14.3,98,10.54,23.15
2016-01-06,17.5,21.1,24.1,13.7,96,9.48,22.6
2016-01-07,11.8,21.0,26.2,17.7,96,15.44,23.6
2016-01-08,7.2,21.1,23.2,20.7,95,8.76,22.15
2016-01-09,16.0,20.6,24.1,14.9,97,10.87,22.35
2016-01-10,6.3,20.7,27.2,14.2,95,14.04,23.95
2016-01-11,3.2,21.2,27.3,17.8,95,15.94,24.25
2016-01-12,27.5,20.7,23.9,17.1,99,7.26,22.299999999999997
2016-01-13,11.9,20.9,25.3,16.6,97,10.75,23.1
2016-01-14,11.3,20.8,24.8,17.4,99,8.22,22.8
2016-01-15,21.2,20.9,22.6,21.4,98,6.66,21.75
2016-01-16,3.1,20.7,24.5,22.7,95,10.61,22.6
2016-01-17,27.6,20.9,22.5,18.6,98,3.94,21.7
2016-01-18,46.3,20.6,24.2,17.4,100,9.0,22.4
2016-01-19,38.3,21.2,23.7,18.2,99,6.93,22.45
2016-01-20,9.6,20.8,26.5,10.8,100,13.88,23.65
2016-01-21,5.8,19.3,27.2,9.8,98,22.17,23.25
2016-01-22,3.6,20.7,28.1,7.5,98,21.49,24.4
2016-01-23,0.7,20.5,26.1,6.4,95,12.63,23.3
2016-01-24,6.1,20.5,26.0,12.1,96,15.12,23.25
2016-01-25,7.2,20.2,26.9,15.6,95,20.08,23.549999999999997
2016-01-26,3.3,19.3,29.0,13.1,98,24.17,24.15
2016-01-27,11.2,21.0,28.0,11.0,99,16.88,24.5
2016-01-28,16.1,21.2,25.3,8.4,98,9.82,23.25
2016-01-29,16.2,20.7,25.6,17.3,95,11.5,23.15
2016-01-30,0.0,18.8,29.2,17.7,97,24.8,24.0
2016-01-31,0.0,18.5,29.2,16.5,87,26.07,23.85
2016-02-01,0.0,17.9,29.0,14.3,84,25.26,23.45
2016-02-02,1.8,19.3,29.4,8.7,88,25.22,24.35
2016-02-03,5.4,19.7,28.6,9.0,98,23.12,24.15
2016-02-04,0.5,18.5,28.4,6.9,98,22.72,23.45
2016-02-05,5.9,20.2,28.5,8.8,95,22.39,24.35
2016-02-06,10.8,20.6,29.0,9.4,98,24.6,24.8
2016-02-07,0.1,20.2,30.2,8.1,98,25.16,25.2
2016-02-08,14.5,21.7,29.3,12.2,94,19.75,25.5
2016-02-09,4.3,20.7,28.0,10.0,94,20.55,24.35
2016-02-10,0.1,20.1,29.5,10.7,97,24.4,24.8
2016-02-11,0.7,21.5,30.0,7.5,91,23.98,25.75
2016-02-12,8.2,21.5,28.6,11.2,94,21.05,25.05
2016-02-13,7.2,20.7,29.6,8.7,97,24.33,25.15
2016-02-14,15.4,20.5,26.4,12.2,100,16.43,23.45
2016-02-15,4.2,20.7,28.1,16.2,95,18.44,24.4
2016-02-16,1.0,19.8,29.6,7.3,97,23.49,24.700000000000003
2016-02-17,0.4,19.6,31.0,10.0,95,25.8,25.3
2016-02-18,0.4,21.5,30.1,7.3,90,20.65,25.8
2016-02-19,0.0,21.2,30.4,12.9,92,22.33,25.799999999999997
2016-02-20,0.0,20.9,30.2,8.9,88,25.75,25.549999999999997
2016-02-21,3.3,20.9,29.8,12.6,92,22.12,25.35
2016-02-22,1.2,20.0,29.5,10.1,95,23.58,24.75
2016-02-23,0.6,21.3,29.2,11.8,89,18.38,25.25
2016-02-24,0.0,19.7,30.1,14.1,84,23.4,24.9
2016-02-25,0.0,20.2,29.4,7.8,88,23.44,24.799999999999997
2016-02-26,0.0,19.7,31.0,10.1,91,24.56,25.35
2016-02-27,8.1,21.0,29.8,6.3,93,22.05,25.4
2016-02-28,0.7,21.5,30.0,7.4,96,20.2,25.75
2016-02-29,4.5,22.3,29.7,10.2,92,19.16,26.0
2016-03-01,0.0,21.3,27.3,11.8,96,12.28,24.3
2016-03-02,3.7,20.8,30.4,11.7,92,19.0,25.6
2016-03-03,11.7,20.6,26.4,13.4,97,12.48,23.5
2016-03-04,5.0,19.6,28.3,12.5,93,22.58,23.950000000000003
2016-03-05,12.3,20.2,27.5,13.2,98,18.49,23.85
2016-03-06,5.5,19.8,29.2,7.5,96,22.68,24.5
2016-03-07,9.0,21.2,27.6,6.9,98,15.66,24.4
2016-03-08,16.5,20.9,28.0,12.1,97,17.03,24.45
2016-03-09,6.3,21.0,29.4,14.4,97,19.85,25.2
2016-03-10,16.6,20.4,26.9,12.9,96,13.11,23.65
2016-03-11,4.4,20.8,28.5,14.2,96,19.16,24.65
2016-03-12,21.4,20.7,24.6,10.3,97,10.55,22.65
2016-03-13,19.3,19.8,28.0,8.0,99,18.04,23.9
2016-03-14,4.0,20.1,29.4,12.2,96,22.57,24.75
2016-03-15,0.0,20.9,29.0,17.5,96,22.71,24.95
2016-03-16,0.0,20.2,29.4,16.0,75,23.82,24.799999999999997
2016-03-17,0.0,20.3,29.0,16.2,86,23.05,24.65
2016-03-18,0.3,20.6,30.0,10.9,82,24.28,25.3
2016-03-19,0.2,19.9,29.3,11.5,90,23.28,24.6
2016-03-20,0.0,19.8,29.9,10.7,87,21.73,24.85
2016-03-21,0.0,21.2,30.1,10.9,82,20.95,25.65
2016-03-22,2.2,20.2,29.5,8.6,91,22.12,24.85
2016-03-23,0.0,19.3,29.9,8.5,98,22.41,24.6
2016-03-24,1.0,21.5,28.3,6.7,92,14.7,24.9
2016-03-25,0.8,20.7,29.2,5.5,96,19.41,24.95
2016-03-26,15.4,21.0,26.9,6.5,97,15.63,23.95
2016-03-27,3.8,20.5,28.3,10.1,98,17.65,24.4
2016-03-28,0.1,20.4,30.4,11.4,98,23.2,25.4
2016-03-29,0.0,19.0,31.2,11.4,95,25.01,25.1
2016-03-30,0.0,19.2,31.0,13.8,84,23.37,25.1
2016-03-31,0.0,21.3,30.8,11.8,76,21.2,26.05
2016-04-01,0.3,20.0,30.7,12.9,84,23.34,25.35
2016-04-02,0.0,19.4,30.6,9.9,88,22.2,25.0
2016-04-03,0.0,20.2,30.5,10.4,87,22.16,25.35
2016-04-04,0.0,20.1,30.4,12.8,87,21.58,25.25
2016-04-05,0.0,21.1,31.4,14.8,81,21.4,26.25
2016-04-06,0.0,20.3,31.1,14.5,81,21.13,25.700000000000003
2016-04-07,0.0,20.2,30.7,9.6,84,20.03,25.45
2016-04-08,0.0,20.3,31.0,8.8,83,20.55,25.65
2016-04-09,0.0,20.5,31.7,11.0,81,19.7,26.1
2016-04-10,0.0,21.1,31.6,12.1,79,19.32,26.35
2016-04-11,0.0,19.4,31.0,10.4,77,18.67,25.2
2016-04-12,0.0,18.6,31.4,13.7,80,23.89,25.0
2016-04-13,0.0,19.6,31.3,19.1,68,21.01,25.450000000000003
2016-04-14,0.0,21.5,31.5,17.0,69,21.4,26.5
2016-04-15,0.0,20.0,31.5,16.3,68,24.16,25.75
2016-04-16,0.0,19.1,31.5,14.8,75,23.72,25.3
2016-04-17,0.0,19.2,31.1,16.8,76,21.51,25.15
2016-04-18,0.0,20.1,31.0,18.6,74,22.07,25.55
2016-04-19,0.0,20.6,30.9,16.1,62,22.91,25.75
2016-04-20,0.0,21.7,30.4,15.1,64,20.62,26.049999999999997
2016-04-21,0.0,19.7,30.4,14.8,74,19.02,25.049999999999997
2016-04-22,0.0,19.8,30.3,10.0,75,17.27,25.05
2016-04-23,0.0,19.2,31.1,11.9,77,19.2,25.15
2016-04-24,0.0,21.8,31.1,15.2,70,17.54,26.450000000000003
2016-04-25,0.0,22.3,30.2,12.4,72,15.02,26.25
2016-04-26,0.0,20.6,30.0,12.8,79,17.02,25.3
2016-04-27,0.1,19.2,24.1,13.7,87,11.95,21.65
2016-04-28,1.9,16.7,25.7,15.6,84,18.94,21.2
2016-04-29,0.6,15.9,27.7,12.0,90,20.53,21.8
