ds,y,tmin,tmax,vento,ur,radiacao,tmean
2016-01-22,0.0,17.5,26.4,14.1,92,24.93,21.95
2016-01-23,1.2,17.3,27.0,12.9,94,25.7,22.15
2016-01-24,2.1,18.6,27.4,11.6,92,19.85,23.0
2016-01-25,7.7,19.2,28.1,10.8,95,23.41,23.65
2016-01-26,6.2,18.2,29.1,8.0,100,25.08,23.65
2016-01-27,13.2,19.6,29.7,10.7,96,24.56,24.65
2016-01-28,8.2,20.6,26.7,15.7,94,13.67,23.65
2016-01-29,6.5,20.0,24.5,14.0,96,9.38,22.25
2016-01-30,0.1,18.8,28.6,13.3,92,26.39,23.700000000000003
2016-01-31,0.0,16.6,29.6,9.3,90,30.84,23.1
2016-02-01,0.0,16.9,29.7,7.2,87,29.41,23.299999999999997
2016-02-02,0.1,18.9,29.1,8.7,82,25.63,24.0
2016-02-03,0.0,19.6,29.3,10.5,82,26.86,24.450000000000003
2016-02-04,0.1,19.0,28.8,11.2,88,25.12,23.9
2016-02-05,0.0,19.4,28.8,12.7,89,23.91,24.1
2016-02-06,4.2,19.7,28.7,8.1,90,21.09,24.2
2016-02-07,7.0,19.9,28.9,10.8,92,25.15,24.4
2016-02-08,1.3,19.8,28.5,14.0,94,25.3,24.15
2016-02-09,0.0,19.2,29.7,8.7,91,27.77,24.45
2016-02-10,0.0,17.9,30.8,10.8,88,29.56,24.35
2016-02-11,7.2,19.6,28.9,10.7,95,17.82,24.25
2016-02-12,3.6,19.8,27.3,15.5,98,22.84,23.55
2016-02-13,0.1,18.5,27.9,13.8,86,21.64,23.2
2016-02-14,2.4,20.4,28.2,11.3,91,21.42,24.299999999999997
2016-02-15,6.2,20.4,27.8,12.9,94,18.94,24.1
2016-02-16,8.5,20.0,26.4,8.4,98,13.44,23.2
2016-02-17,14.9,18.7,29.4,9.7,99,23.47,24.049999999999997
2016-02-18,16.4,20.0,27.8,8.9,99,20.6,23.9
2016-02-19,9.3,19.2,27.4,12.2,97,20.07,23.299999999999997
2016-02-20,8.8,19.3,28.4,10.8,98,22.31,23.85
2016-02-21,0.8,18.9,28.4,9.1,98,20.02,23.65
2016-02-22,6.2,19.5,26.8,13.4,94,16.93,23.15
2016-02-23,0.0,19.7,27.8,9.1,94,22.14,23.75
2016-02-24,1.0,18.4,27.5,11.8,90,23.09,22.95
2016-02-25,8.7,19.6,25.8,9.4,97,14.21,22.700000000000003
2016-02-26,7.1,18.9,26.9,11.9,99,21.19,22.9
2016-02-27,5.2,19.3,27.8,11.9,98,17.94,23.55
2016-02-28,5.9,18.6,27.8,12.0,100,18.39,23.200000000000003
2016-02-29,23.7,20.1,26.4,12.6,99,16.37,23.25
2016-03-01,15.3,17.9,22.6,10.7,95,7.77,20.25
2016-03-02,3.9,18.4,27.1,14.4,96,17.5,22.75
2016-03-03,10.8,18.9,24.4,17.4,98,11.98,21.65
2016-03-04,24.4,18.2,25.5,16.6,98,18.49,21.85
2016-03-05,3.7,18.4,26.2,14.0,98,14.42,22.299999999999997
2016-03-06,8.2,17.8,28.1,7.3,98,22.1,22.950000000000003
2016-03-07,7.9,18.3,27.1,10.9,99,18.58,22.700000000000003
2016-03-08,0.1,18.8,27.2,11.4,97,21.23,23.0
2016-03-09,0.0,20.3,27.0,12.9,91,20.49,23.65
2016-03-10,3.2,19.0,26.6,17.2,90,17.06,22.8
2016-03-11,12.6,20.3,24.5,13.7,96,10.34,22.4
2016-03-12,11.5,18.9,25.1,10.1,98,10.57,22.0
2016-03-13,5.4,18.2,25.7,13.0,99,14.81,21.95
2016-03-14,1.1,18.6,26.5,13.6,92,17.77,22.55
2016-03-15,0.8,19.8,26.6,13.3,91,16.92,23.200000000000003
2016-03-16,7.2,18.7,26.0,14.5,93,19.45,22.35
2016-03-17,1.8,18.3,25.2,13.1,94,12.14,21.75
